team,fifa_points,fifa_rank,as_of_date
France,1877.32,1,2026-05-01
Spain,1876.40,2,2026-05-01
Argentina,1874.81,3,2026-05-01
England,1825.97,4,2026-05-01
Portugal,1763.83,5,2026-05-01
Brazil,1761.16,6,2026-05-01
Netherlands,1757.87,7,2026-05-01
Morocco,1755.87,8,2026-05-01
Belgium,1734.71,9,2026-05-01
Germany,1730.37,10,2026-05-01
Croatia,1717.07,11,2026-05-01
Colombia,1693.09,13,2026-05-01
Senegal,1688.99,14,2026-05-01
Mexico,1681.03,15,2026-05-01
United States,1673.13,16,2026-05-01
Uruguay,1673.07,17,2026-05-01
Japan,1660.43,18,2026-05-01
Switzerland,1649.40,19,2026-05-01
Iran,1615.30,21,2026-05-01
Turkey,1599.04,22,2026-05-01
Ecuador,1594.78,23,2026-05-01
Austria,1593.45,24,2026-05-01
South Korea,1588.66,25,2026-05-01
Australia,1580.67,27,2026-05-01
Algeria,1564.26,28,2026-05-01
Egypt,1563.24,29,2026-05-01
Canada,1556.48,30,2026-05-01
Norway,1550.94,31,2026-05-01
Panama,1540.64,33,2026-05-01
Cote d'Ivoire,1532.98,34,2026-05-01
Sweden,1514.77,38,2026-05-01
Paraguay,1503.50,40,2026-05-01
Czechia,1501.38,41,2026-05-01
Scotland,1498.35,43,2026-05-01
Tunisia,1483.05,44,2026-05-01
DR Congo,1478.35,46,2026-05-01
Uzbekistan,1465.34,50,2026-05-01
Qatar,1454.96,55,2026-05-01
Iraq,1447.14,57,2026-05-01
South Africa,1429.73,60,2026-05-01
Saudi Arabia,1421.43,61,2026-05-01
Jordan,1391.45,63,2026-05-01
Bosnia and Herzegovina,1385.84,65,2026-05-01
Cape Verde,1368.00,69,2026-05-01
Ghana,1346.31,74,2026-05-01
Curacao,1294.65,82,2026-05-01
Haiti,1291.71,83,2026-05-01
New Zealand,1281.57,85,2026-05-01
