team,group,confederation
Mexico,A,CONCACAF
South Africa,A,CAF
South Korea,A,AFC
Czechia,A,UEFA
Canada,B,CONCACAF
Bosnia and Herzegovina,B,UEFA
Qatar,B,AFC
Switzerland,B,UEFA
Brazil,C,CONMEBOL
Morocco,C,CAF
Haiti,C,CONCACAF
Scotland,C,UEFA
United States,D,CONCACAF
Paraguay,D,CONMEBOL
Australia,D,AFC
Turkey,D,UEFA
Germany,E,UEFA
Curacao,E,CONCACAF
Cote d'Ivoire,E,CAF
Ecuador,E,CONMEBOL
Netherlands,F,UEFA
Japan,F,AFC
Sweden,F,UEFA
Tunisia,F,CAF
Belgium,G,UEFA
Egypt,G,CAF
Iran,G,AFC
New Zealand,G,OFC
Spain,H,UEFA
Cape Verde,H,CAF
Saudi Arabia,H,AFC
Uruguay,H,CONMEBOL
France,I,UEFA
Senegal,I,CAF
Iraq,I,AFC
Norway,I,UEFA
Argentina,J,CONMEBOL
Algeria,J,CAF
Austria,J,UEFA
Jordan,J,AFC
Portugal,K,UEFA
DR Congo,K,CAF
Uzbekistan,K,AFC
Colombia,K,CONMEBOL
England,L,UEFA
Croatia,L,UEFA
Ghana,L,CAF
Panama,L,CONCACAF
