stage,group,home_team,away_team,home_goals,away_goals,status
GROUP_STAGE,A,Mexico,South Africa,2,0,FINISHED
GROUP_STAGE,A,South Korea,Czechia,2,1,FINISHED
GROUP_STAGE,B,Canada,Bosnia and Herzegovina,1,1,FINISHED
GROUP_STAGE,D,United States,Paraguay,4,1,FINISHED
GROUP_STAGE,B,Qatar,Switzerland,1,1,FINISHED
GROUP_STAGE,C,Brazil,Morocco,1,1,FINISHED
GROUP_STAGE,C,Haiti,Scotland,0,1,FINISHED
GROUP_STAGE,D,Australia,Turkey,2,0,FINISHED
GROUP_STAGE,E,Germany,Curacao,7,1,FINISHED
GROUP_STAGE,F,Netherlands,Japan,2,2,FINISHED
GROUP_STAGE,E,Cote d'Ivoire,Ecuador,1,0,FINISHED
GROUP_STAGE,F,Sweden,Tunisia,5,1,FINISHED
GROUP_STAGE,H,Spain,Cape Verde,0,0,FINISHED
GROUP_STAGE,G,Belgium,Egypt,1,1,FINISHED
GROUP_STAGE,H,Saudi Arabia,Uruguay,1,1,FINISHED
GROUP_STAGE,G,Iran,New Zealand,2,2,FINISHED
GROUP_STAGE,I,France,Senegal,3,1,FINISHED
GROUP_STAGE,I,Iraq,Norway,1,4,FINISHED
GROUP_STAGE,J,Argentina,Algeria,3,0,FINISHED
GROUP_STAGE,J,Austria,Jordan,3,1,FINISHED
GROUP_STAGE,K,Portugal,DR Congo,1,1,FINISHED
GROUP_STAGE,L,England,Croatia,4,2,FINISHED
GROUP_STAGE,L,Ghana,Panama,1,0,FINISHED
GROUP_STAGE,K,Uzbekistan,Colombia,1,3,FINISHED
GROUP_STAGE,A,Czechia,South Africa,1,1,FINISHED
GROUP_STAGE,B,Switzerland,Bosnia and Herzegovina,4,1,FINISHED
GROUP_STAGE,B,Canada,Qatar,6,0,FINISHED
GROUP_STAGE,A,Mexico,South Korea,1,0,FINISHED
GROUP_STAGE,D,United States,Australia,2,0,FINISHED
GROUP_STAGE,C,Scotland,Morocco,0,1,FINISHED
GROUP_STAGE,C,Brazil,Haiti,3,0,FINISHED
GROUP_STAGE,D,Turkey,Paraguay,0,1,FINISHED
GROUP_STAGE,F,Netherlands,Sweden,5,1,FINISHED
GROUP_STAGE,E,Germany,Cote d'Ivoire,2,1,FINISHED
GROUP_STAGE,E,Ecuador,Curacao,0,0,FINISHED
GROUP_STAGE,F,Tunisia,Japan,0,4,FINISHED
GROUP_STAGE,H,Spain,Saudi Arabia,4,0,FINISHED
GROUP_STAGE,G,Belgium,Iran,0,0,FINISHED
GROUP_STAGE,H,Uruguay,Cape Verde,2,2,FINISHED
GROUP_STAGE,G,New Zealand,Egypt,1,3,FINISHED
GROUP_STAGE,J,Argentina,Austria,2,0,FINISHED
GROUP_STAGE,I,France,Iraq,3,0,FINISHED
GROUP_STAGE,I,Norway,Senegal,3,2,FINISHED
GROUP_STAGE,J,Jordan,Algeria,1,2,FINISHED
GROUP_STAGE,K,Portugal,Uzbekistan,5,0,FINISHED
GROUP_STAGE,L,England,Ghana,0,0,FINISHED
GROUP_STAGE,L,Panama,Croatia,0,1,FINISHED
GROUP_STAGE,K,Colombia,DR Congo,1,0,FINISHED
GROUP_STAGE,B,Switzerland,Canada,2,1,FINISHED
GROUP_STAGE,B,Bosnia and Herzegovina,Qatar,3,1,FINISHED
GROUP_STAGE,C,Morocco,Haiti,4,2,FINISHED
GROUP_STAGE,C,Scotland,Brazil,0,3,FINISHED
GROUP_STAGE,D,Turkey,United States,3,2,FINISHED
GROUP_STAGE,D,Paraguay,Australia,0,0,FINISHED
GROUP_STAGE,I,Norway,France,1,4,FINISHED
GROUP_STAGE,I,Senegal,Iraq,5,0,FINISHED
